fighter,opponent,weight_class,event_name,date
Alexander Volkanovski,Yair Rodriguez,Featherweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Brandon Moreno,Alexandre Pantoja,Flyweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Robert Whittaker,Dricus Du Plessis,Middleweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Jalin Turner,Dan Hooker,Lightweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Bo Nickal,Tresean Gore,Middleweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Robbie Lawler,Niko Price,Welterweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Sean Brady,Jack Della Maddalena,Welterweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Yazmin Jauregui,Denise Gomes,Women's Strawweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Jimmy Crute,Alonzo Menifield,Light Heavyweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Vitor Petrino,Marcin Prachnio,Light Heavyweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Cameron Saaiman,Terrence Mitchell,Bantamweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Shannon Ross,Jesus Aguilar,Flyweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Kamuela Kirk,Esteban Ribovics,Lightweight,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Holly Holm,Mayra Bueno Silva,Women's Bantamweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Albert Duraev,JunYong Park,Middleweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Walt Harris,Josh Parisian,Heavyweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Norma Dumont,Chelsea Chandler,Women's Featherweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Ottman Azaitar,Francisco Prado,Lightweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Nazim Sadykhov,Terrance McKinney,Lightweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Tucker Lutz,Melsik Baghdasaryan,Featherweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Viktoriia Dudakova,Istela Nunes,Women's Strawweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Austin Lingo,Melquizael Costa,Featherweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Evan Elder,Genaro Valdez,Lightweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Tyson Nam,Azat Maksum,Flyweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Alexander Munoz,Carl Deaton,Lightweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Ashlee Evans-Smith,Ailin Perez,Women's Bantamweight,UFC Fight Night: Holm vs. Silva,2023-07-15
Tom Aspinall,Marcin Tybura,Heavyweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Molly McCann,Julija Stoliarenko,Women's Flyweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Nathaniel Wood,Andre Fili,Featherweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Paul Craig,Andre Muniz,Middleweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Jai Herbert,Fares Ziam,Lightweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Lerone Murphy,Josh Culibao,Featherweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Davey Grant,Daniel Marcos,Bantamweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Danny Roberts,Jonny Parsons,Welterweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Marc Diakiese,Joel Alvarez,Lightweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Mick Parkin,Jamal Pogues,Heavyweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Makhmud Muradov,Bryan Barberena,Middleweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Ketlen Vieira,Pannie Kianzad,Women's Bantamweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Chris Duncan,Yanal Ashmouz,Lightweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Shauna Bannon,Bruna Brasil,Women's Strawweight,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Dustin Poirier,Justin Gaethje,Lightweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Jan Blachowicz,Alex Pereira,Light Heavyweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Paulo Costa,Ikram Aliskerov,Middleweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Tony Ferguson,Bobby Green,Lightweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Michael Chiesa,Kevin Holland,Welterweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Stephen Thompson,Michel Pereira,Welterweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Derrick Lewis,Marcos Rogerio de Lima,Heavyweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Trevin Giles,Gabriel Bonfim,Welterweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Roman Kopylov,Claudio Ribeiro,Middleweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
CJ Vergara,Vinicius Salvador,Flyweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Matthew Semelsberger,Yohan Lainesse,Welterweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Joanne Wood,Priscila Cachoeira,Women's Flyweight,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Cory Sandhagen,Umar Nurmagomedov,Bantamweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Jessica Andrade,Tatiana Suarez,Women's Strawweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Dustin Jacoby,Kennedy Nzechukwu,Light Heavyweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Tanner Boser,Aleksa Camur,Light Heavyweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Ignacio Bahamondes,Ludovit Klein,Lightweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Billy Quarantillo,Damon Jackson,Featherweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Ovince Saint Preux,Ion Cutelaba,Light Heavyweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Said Nurmagomedov,Kyler Phillips,Bantamweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Jeremiah Wells,Carlston Harris,Welterweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Sean Woodson,Steve Garcia,Featherweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Tagir Ulanbekov,Jake Hadley,Flyweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Ode Osbourne,Assu Almabayev,Flyweight,UFC Fight Night: Sandhagen vs. Nurmagomedov,2023-08-05
Vicente Luque,Rafael Dos Anjos,Welterweight,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Khalil Rountree Jr.,Chris Daukaus,Light Heavyweight,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Polyana Viana,Iasmin Lucindo,Women's Strawweight,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Jaqueline Amorim,Montserrat Conejo,Women's Strawweight,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Cub Swanson,Hakeem Dawodu,Featherweight,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Aljamain Sterling,Sean O'Malley,Bantamweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Zhang Weili,Amanda Lemos,Women's Strawweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Chris Weidman,Brad Tavares,Middleweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Geoff Neal,Ian Garry,Welterweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Cody Garbrandt,Mario Bautista,Bantamweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Andre Petroski,Gerald Meerschaert,Middleweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Andrea Lee,Natalia Silva,Women's Flyweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Gregory Rodrigues,Denis Tiuliulin,Middleweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Karine Silva,Maryna Moroz,Women's Flyweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Rob Font,Song Yadong,Bantamweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Henry Cejudo,Marlon Vera,Bantamweight,UFC 292: Sterling vs. O'Malley,2023-08-19
Max Holloway,Chan Sung Jung,Featherweight,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26
Anthony Smith,Ryan Spann,Light Heavyweight,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26
Rinya Nakamura,Fernie Garcia,Bantamweight,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26
Chidi Njokuani,Michal Oleksiejczuk,Middleweight,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26
Liang Na,JJ Aldrich,Women's Flyweight,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26
Ciryl Gane,Serghei Spivac,Heavyweight,UFC Fight Night: Gane vs. Spivac,2023-09-02
Nora Cornolle,Joselyne Edwards,Women's Bantamweight,UFC Fight Night: Gane vs. Spivac,2023-09-02
Volkan Oezdemir,Azamat Murzakanov,Light Heavyweight,UFC Fight Night: Gane vs. Spivac,2023-09-02
Zarah Fairn,Hailey Cowan,Women's Bantamweight,UFC Fight Night: Gane vs. Spivac,2023-09-02
Manon Fiorot,Rose Namajunas,Women's Flyweight,UFC Fight Night: Gane vs. Spivac,2023-09-02
Carlos Ulberg,Da Woon Jung,Light Heavyweight,UFC 293,2023-09-09
Alexa Grasso,Valentina Shevchenko,Women's Flyweight,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16
Shavkat Rakhmonov,Kelvin Gastelum,Welterweight,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16
