fighter,opponent,weight_class,event_name
Alexander Volkanovski,Yair Rodriguez,Featherweight,UFC 290: Volkanovski vs. Rodriguez
Brandon Moreno,Alexandre Pantoja,Flyweight,UFC 290: Volkanovski vs. Rodriguez
Robert Whittaker,Dricus Du Plessis,Middleweight,UFC 290: Volkanovski vs. Rodriguez
Jalin Turner,Dan Hooker,Lightweight,UFC 290: Volkanovski vs. Rodriguez
Bo Nickal,Tresean Gore,Middleweight,UFC 290: Volkanovski vs. Rodriguez
Robbie Lawler,Niko Price,Welterweight,UFC 290: Volkanovski vs. Rodriguez
Sean Brady,Jack Della Maddalena,Welterweight,UFC 290: Volkanovski vs. Rodriguez
Yazmin Jauregui,Denise Gomes,Women's Strawweight,UFC 290: Volkanovski vs. Rodriguez
Jimmy Crute,Alonzo Menifield,Light Heavyweight,UFC 290: Volkanovski vs. Rodriguez
Vitor Petrino,Marcin Prachnio,Light Heavyweight,UFC 290: Volkanovski vs. Rodriguez
Cameron Saaiman,Terrence Mitchell,Bantamweight,UFC 290: Volkanovski vs. Rodriguez
Shannon Ross,Jesus Aguilar,Flyweight,UFC 290: Volkanovski vs. Rodriguez
Kamuela Kirk,Esteban Ribovics,Lightweight,UFC 290: Volkanovski vs. Rodriguez
Holly Holm,Mayra Bueno Silva,Women's Bantamweight,UFC Fight Night: Holm vs. Silva
Albert Duraev,JunYong Park,Middleweight,UFC Fight Night: Holm vs. Silva
Walt Harris,Josh Parisian,Heavyweight,UFC Fight Night: Holm vs. Silva
Norma Dumont,Chelsea Chandler,Women's Featherweight,UFC Fight Night: Holm vs. Silva
Ottman Azaitar,Francisco Prado,Lightweight,UFC Fight Night: Holm vs. Silva
Nazim Sadykhov,Terrance McKinney,Lightweight,UFC Fight Night: Holm vs. Silva
Tucker Lutz,Melsik Baghdasaryan,Featherweight,UFC Fight Night: Holm vs. Silva
Viktoriia Dudakova,Istela Nunes,Women's Strawweight,UFC Fight Night: Holm vs. Silva
Austin Lingo,Melquizael Costa,Featherweight,UFC Fight Night: Holm vs. Silva
Evan Elder,Genaro Valdez,Lightweight,UFC Fight Night: Holm vs. Silva
Tyson Nam,Azat Maksum,Flyweight,UFC Fight Night: Holm vs. Silva
Alexander Munoz,Carl Deaton,Lightweight,UFC Fight Night: Holm vs. Silva
Ashlee Evans-Smith,Ailin Perez,Women's Bantamweight,UFC Fight Night: Holm vs. Silva
Tom Aspinall,Marcin Tybura,Heavyweight,UFC Fight Night: Aspinall vs. Tybura
Molly McCann,Julija Stoliarenko,Women's Flyweight,UFC Fight Night: Aspinall vs. Tybura
Nathaniel Wood,Andre Fili,Featherweight,UFC Fight Night: Aspinall vs. Tybura
Paul Craig,Andre Muniz,Middleweight,UFC Fight Night: Aspinall vs. Tybura
Jai Herbert,Fares Ziam,Lightweight,UFC Fight Night: Aspinall vs. Tybura
Lerone Murphy,Josh Culibao,Featherweight,UFC Fight Night: Aspinall vs. Tybura
Davey Grant,Daniel Marcos,Bantamweight,UFC Fight Night: Aspinall vs. Tybura
Danny Roberts,Jonny Parsons,Welterweight,UFC Fight Night: Aspinall vs. Tybura
Marc Diakiese,Joel Alvarez,Lightweight,UFC Fight Night: Aspinall vs. Tybura
Mick Parkin,Jamal Pogues,Heavyweight,UFC Fight Night: Aspinall vs. Tybura
Makhmud Muradov,Bryan Barberena,Middleweight,UFC Fight Night: Aspinall vs. Tybura
Ketlen Vieira,Pannie Kianzad,Women's Bantamweight,UFC Fight Night: Aspinall vs. Tybura
Chris Duncan,Yanal Ashmouz,Lightweight,UFC Fight Night: Aspinall vs. Tybura
Shauna Bannon,Bruna Brasil,Women's Strawweight,UFC Fight Night: Aspinall vs. Tybura
Dustin Poirier,Justin Gaethje,Lightweight,UFC 291: Poirier vs. Gaethje 2
Jan Blachowicz,Alex Pereira,Light Heavyweight,UFC 291: Poirier vs. Gaethje 2
Paulo Costa,Ikram Aliskerov,Middleweight,UFC 291: Poirier vs. Gaethje 2
