fighter,event_url
Israel Adesanya,http://ufcstats.com/event-details/3dc3022232b79c7a
Gilbert Burns,http://ufcstats.com/event-details/3dc3022232b79c7a
Rob Font,http://ufcstats.com/event-details/3dc3022232b79c7a
Kevin Holland,http://ufcstats.com/event-details/3dc3022232b79c7a
Christian Rodriguez,http://ufcstats.com/event-details/3dc3022232b79c7a
Kelvin Gastelum,http://ufcstats.com/event-details/3dc3022232b79c7a
Luana Pinheiro,http://ufcstats.com/event-details/3dc3022232b79c7a
Joe Pyfer,http://ufcstats.com/event-details/3dc3022232b79c7a
Loopy Godinez,http://ufcstats.com/event-details/3dc3022232b79c7a
Ignacio Bahamondes,http://ufcstats.com/event-details/3dc3022232b79c7a
Steve Garcia,http://ufcstats.com/event-details/3dc3022232b79c7a
Cory Sandhagen,http://ufcstats.com/event-details/aec273fcb765330d
Holly Holm,http://ufcstats.com/event-details/aec273fcb765330d
Nate Landwehr,http://ufcstats.com/event-details/aec273fcb765330d
Maycee Barber,http://ufcstats.com/event-details/aec273fcb765330d
Albert Duraev,http://ufcstats.com/event-details/aec273fcb765330d
Daniel Pineda,http://ufcstats.com/event-details/aec273fcb765330d
Lucas Alexander,http://ufcstats.com/event-details/aec273fcb765330d
Trevin Giles,http://ufcstats.com/event-details/aec273fcb765330d
CJ Vergara,http://ufcstats.com/event-details/aec273fcb765330d
Leon Edwards,http://ufcstats.com/event-details/e4bb7e483c4ad318
Justin Gaethje,http://ufcstats.com/event-details/e4bb7e483c4ad318
Gunnar Nelson,http://ufcstats.com/event-details/e4bb7e483c4ad318
Jennifer Maia,http://ufcstats.com/event-details/e4bb7e483c4ad318
Marvin Vettori,http://ufcstats.com/event-details/e4bb7e483c4ad318
Jack Shore,http://ufcstats.com/event-details/e4bb7e483c4ad318
Chris Duncan,http://ufcstats.com/event-details/e4bb7e483c4ad318
Yanal Ashmouz,http://ufcstats.com/event-details/e4bb7e483c4ad318
Muhammad Mokaev,http://ufcstats.com/event-details/e4bb7e483c4ad318
Lerone Murphy,http://ufcstats.com/event-details/e4bb7e483c4ad318
Christian Duncan,http://ufcstats.com/event-details/e4bb7e483c4ad318
Jake Hadley,http://ufcstats.com/event-details/e4bb7e483c4ad318
Joanne Wood,http://ufcstats.com/event-details/e4bb7e483c4ad318
Jai Herbert,http://ufcstats.com/event-details/e4bb7e483c4ad318
Merab Dvalishvili,http://ufcstats.com/event-details/35080a7f406f9ab3
Alexander Volkov,http://ufcstats.com/event-details/35080a7f406f9ab3
Nikita Krylov,http://ufcstats.com/event-details/35080a7f406f9ab3
Jonathan Martinez,http://ufcstats.com/event-details/35080a7f406f9ab3
Mario Bautista,http://ufcstats.com/event-details/35080a7f406f9ab3
