name,wins,losses,draws,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,url
Ryan Hall,9,2,0,"5'10""",145lbs.,"70""",Southpaw,"Feb22,1985",2.38,50%,1.33,65%,0.22,9%,0%,2.2,04-18-2023,12-11-2021,http://ufcstats.com/fighter-details/8866c6f509c19089
Maki Pitolo,13,9,0,"5'10""",185lbs.,"75""",Orthodox,"Nov24,1990",4.1,44%,3.93,55%,2.24,52%,50%,0.8,04-18-2023,12-04-2021,http://ufcstats.com/fighter-details/c549573c0df4d676
Mallory Martin,7,5,0,"5'4""",115lbs.,"63""",Orthodox,"Jan29,1994",4.42,48%,6.64,55%,2.28,43%,25%,0.3,04-18-2023,12-04-2021,http://ufcstats.com/fighter-details/19b7738321cfae42
Chris Gruetzemacher,15,5,0,"5'8""",155lbs.,"68""",Orthodox,"Jun16,1986",6.18,57%,4.96,52%,0.21,50%,65%,0.0,04-18-2023,12-04-2021,http://ufcstats.com/fighter-details/feaf00f3373435d6
Michael Chiesa,18,6,0,"6'1""",170lbs.,"75""",Southpaw,"Dec07,1987",1.88,41%,1.67,54%,3.39,54%,60%,1.0,04-18-2023,11-20-2021,http://ufcstats.com/fighter-details/c58f51dedb310998
Rani Yahya,28,10,1 (1 NC),"5'6""",135lbs.,"67""",Orthodox,"Sep12,1984",1.58,38%,1.76,50%,2.9,33%,24%,1.9,04-18-2023,,http://ufcstats.com/fighter-details/94527830000ab715
Sean Soriano,14,8,0,"5'9""",145lbs.,"70""",Orthodox,"Oct06,1989",3.18,61%,2.14,56%,1.33,55%,52%,0.0,04-18-2023,11-20-2021,http://ufcstats.com/fighter-details/bd5403efbaa445c0
Ben Rothwell,39,14,0,"6'4""",265lbs.,"78""",Orthodox,"Oct17,1981",3.71,42%,4.63,47%,0.68,34%,70%,0.4,04-18-2023,11-13-2021,http://ufcstats.com/fighter-details/bd58d34e39b7b12a
Felicia Spencer,9,3,0,"5'6""",145lbs.,"68""",Orthodox,"Nov29,1990",3.21,48%,4.54,45%,1.18,18%,27%,0.2,04-18-2023,11-13-2021,http://ufcstats.com/fighter-details/39d91e95949de3d9
Leah Letson,5,3,0,"5'7""",145lbs.,"71""",,"Aug21,1992",3.06,41%,3.84,52%,0.51,50%,76%,0.0,04-18-2023,11-13-2021,http://ufcstats.com/fighter-details/8cb78f3a6c2a08f7
Collin Anglin,8,3,0,"5'9""",145lbs.,"71""",Orthodox,"Feb20,1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0,04-18-2023,11-13-2021,http://ufcstats.com/fighter-details/047a91d3d9c79b05
Liana Jojua,8,5,0,"5'4""",125lbs.,"62""",Orthodox,"Mar22,1995",2.42,30%,5.32,54%,1.71,66%,50%,1.3,04-18-2023,11-13-2021,http://ufcstats.com/fighter-details/eebc23626e38f5dc
Al Iaquinta,14,7,1,"5'10""",155lbs.,"70""",Orthodox,"Apr30,1987",4.06,40%,4.53,61%,0.63,18%,74%,0.2,04-18-2023,11-06-2021,http://ufcstats.com/fighter-details/59279a7c978f7da0
Jordan Williams,9,6,0 (1 NC),"6'1""",185lbs.,"75""",Southpaw,"Oct13,1990",5.83,50%,5.46,35%,1.11,50%,85%,0.0,04-18-2023,11-06-2021,http://ufcstats.com/fighter-details/e26bd53b751d61d9
Gian Villante,17,14,0,"6'3""",230lbs.,"76""",Orthodox,"Aug18,1985",4.38,44%,5.47,55%,0.45,23%,83%,0.0,04-18-2023,11-06-2021,http://ufcstats.com/fighter-details/fcd448a2fe1a23cc
John Allan,13,7,0 (1 NC),"6'1""",205lbs.,"75""",Orthodox,"Feb22,1993",3.56,42%,5.74,52%,1.4,71%,50%,0.8,04-18-2023,11-06-2021,http://ufcstats.com/fighter-details/6ebe96a116e79e52
Elizeu Zaleski dos Santos,23,7,0,"5'11""",170lbs.,"73""",Orthodox,"Dec11,1986",4.65,42%,3.22,58%,0.52,15%,62%,0.4,04-18-2023,10-30-2021,http://ufcstats.com/fighter-details/8adcbd525fab8d9b
Shamil Gamzatov,14,1,0,"6'2""",205lbs.,"76""",Orthodox,"Aug09,1990",5.35,48%,3.46,51%,0.0,0%,50%,0.0,04-18-2023,10-30-2021,http://ufcstats.com/fighter-details/0d980975001ae3d8
Hu Yaozong,3,3,0,"6'3""",185lbs.,"72""",Orthodox,"Apr07,1995",3.35,48%,5.09,35%,0.0,0%,33%,0.4,04-18-2023,10-30-2021,http://ufcstats.com/fighter-details/f1175ea3aafbf351
Ricky Glenn,22,6,2,"6'0""",155lbs.,"70""",Southpaw,"Apr12,1989",4.03,43%,3.89,52%,0.57,13%,68%,0.4,04-18-2023,,http://ufcstats.com/fighter-details/814ff3018127e8fc
Laureano Staropoli,9,5,0,"6'1""",185lbs.,"71""",Orthodox,"Feb27,1993",3.31,34%,3.73,54%,0.83,26%,48%,0.0,04-18-2023,10-23-2021,http://ufcstats.com/fighter-details/a12a8314adc1c1c9
Khama Worthy,16,9,0,"5'11""",155lbs.,"74""",Orthodox,"Oct15,1986",4.18,48%,4.45,46%,0.0,0%,57%,0.7,04-18-2023,10-23-2021,http://ufcstats.com/fighter-details/78e501478a36a018
Randa Markos,11,12,1,"5'4""",115lbs.,"63""",Orthodox,"Aug10,1985",2.97,43%,3.1,58%,1.12,28%,52%,0.2,04-18-2023,10-23-2021,http://ufcstats.com/fighter-details/4a57ebb14315b251
Livinha Souza,14,4,0,"5'3""",115lbs.,"63""",Orthodox,"Mar11,1991",1.75,45%,3.6,56%,2.54,45%,40%,1.4,04-18-2023,10-23-2021,http://ufcstats.com/fighter-details/dab8cfbb6b1db10a
Zviad Lazishvili,13,1,0,"5'6""",135lbs.,"69""",Orthodox,"Oct25,1991",4.2,39%,6.13,51%,0.0,0%,0%,0.0,04-18-2023,10-23-2021,http://ufcstats.com/fighter-details/41498c2d1a87b154
Carlos Felipe,11,2,0,"6'0""",245lbs.,"75""",Orthodox,"Jan12,1995",4.88,45%,5.6,50%,0.0,0%,72%,0.0,04-18-2023,10-16-2021,http://ufcstats.com/fighter-details/a2ea77e974c5889f
Andrew Sanchez,13,7,0,"6'1""",185lbs.,"74""",Orthodox,"Apr08,1988",4.3,43%,5.1,50%,2.55,36%,100%,0.0,04-18-2023,10-16-2021,http://ufcstats.com/fighter-details/fccf811c1e8b01c7
Bethe Correia,11,6,1,"5'5""",135lbs.,"64""",Orthodox,"Jun22,1983",4.37,43%,4.93,56%,0.39,18%,85%,0.0,04-18-2023,10-02-2021,http://ufcstats.com/fighter-details/673ea7dcc786b1b3
Gaetano Pirrello,15,7,1,"5'7""",135lbs.,"65""",Orthodox,"Apr29,1992",0.99,55%,2.44,42%,0.0,0%,30%,0.0,04-18-2023,10-02-2021,http://ufcstats.com/fighter-details/8765559b6a29a421
Johnny Eduardo,28,13,0,"5'7""",135lbs.,"71""",Orthodox,"Aug03,1978",2.95,39%,3.22,63%,0.22,20%,58%,0.4,04-18-2023,10-02-2021,http://ufcstats.com/fighter-details/528c24b99fbaab79
Nick Diaz,26,10,0 (2 NC),"6'1""",170lbs.,"76""",Southpaw,"Aug02,1983",5.71,42%,3.84,59%,1.28,32%,60%,1.0,04-18-2023,09-25-2021,http://ufcstats.com/fighter-details/f57a8a52ca401ed9
Martin Sano,4,3,1,"5'11""",170lbs.,"75""",Orthodox,"May30,1991",4.0,33%,12.0,40%,0.0,0%,0%,0.0,04-18-2023,09-25-2021,http://ufcstats.com/fighter-details/16a64f93f6678b7b
Antonio Arroyo,9,5,0,"6'3""",185lbs.,"73""",Orthodox,"Jul01,1989",2.82,66%,2.02,50%,1.14,41%,41%,0.2,04-18-2023,09-18-2021,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
Mike Rodriguez,11,7,0 (1 NC),"6'4""",205lbs.,"82""",Southpaw,"Nov28,1988",4.35,53%,4.24,41%,0.0,0%,37%,0.0,04-18-2023,09-18-2021,http://ufcstats.com/fighter-details/18b602842a24f7c5
Sarah Alpar,9,6,0,"5'4""",135lbs.,"63""",Southpaw,"Jun01,1991",2.36,44%,6.06,38%,1.61,26%,20%,0.4,04-18-2023,09-18-2021,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Impa Kasanganay,9,2,0,"5'11""",170lbs.,"75""",Orthodox,"Jan17,1994",4.96,48%,3.66,58%,1.75,58%,66%,0.2,04-18-2023,09-18-2021,http://ufcstats.com/fighter-details/257b0c8d6f199895
Gustavo Lopez,12,6,1,"5'5""",135lbs.,"67""",Orthodox,"Jun27,1989",2.48,40%,3.87,57%,1.74,41%,31%,0.7,04-18-2023,09-18-2021,http://ufcstats.com/fighter-details/93b62c5f2ba18e51
Emily Whitmire,4,5,0,"5'5""",125lbs.,"63""",Orthodox,"May24,1991",2.5,31%,2.98,54%,1.9,66%,70%,0.5,04-18-2023,09-18-2021,http://ufcstats.com/fighter-details/b3d21b2610dcfaeb
David Zawada,17,7,0,"6'0""",170lbs.,"75""",Orthodox,"Aug01,1990",3.84,41%,4.54,55%,0.97,33%,57%,1.7,04-18-2023,09-04-2021,http://ufcstats.com/fighter-details/3bb2dc8e87b10a46
Luigi Vendramini,9,3,0,"5'8""",155lbs.,"73""",Orthodox,"Jan16,1996",2.82,40%,3.82,57%,1.11,15%,100%,0.6,04-18-2023,09-04-2021,http://ufcstats.com/fighter-details/2f1a257d6777096d
Gilbert Urbina,6,3,0,"6'3""",185lbs.,"75""",Orthodox,"Apr05,1996",6.21,59%,6.34,47%,4.14,33%,0%,0.0,04-18-2023,08-28-2021,http://ufcstats.com/fighter-details/b12fb759e02378de
Kevin Lee,18,7,0,"5'9""",170lbs.,"77""",Orthodox,"Sep04,1992",3.89,42%,3.56,50%,3.19,43%,75%,0.8,04-18-2023,08-28-2021,http://ufcstats.com/fighter-details/ee9ebceabfd16fa7
Darren Stewart,12,8,0 (2 NC),"6'0""",205lbs.,"74""",Orthodox,"Dec30,1990",3.05,45%,3.29,48%,1.75,45%,67%,0.1,04-18-2023,08-28-2021,http://ufcstats.com/fighter-details/a17ad5a5048e8c3f
Austin Hubbard,13,6,0,"5'10""",155lbs.,"71""",Orthodox,"Dec22,1991",3.67,47%,2.97,58%,1.35,61%,63%,0.0,04-18-2023,08-21-2021,http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed
