result,fighter,opponent,f_kd,o_kd,f_str,o_str,f_td,o_td,f_sub,o_sub,weight_class,method,type,round,time,date,event_url
win,Israel Adesanya,Alex Pereira,1,0,41,49,0,0,0,0,Middleweight,KO/TKO,Punch,2,4:21,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Kevin Holland,Santiago Ponzinibbio,1,0,66,44,0,0,0,0,Welterweight,KO/TKO,Punch,3,3:16,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Christian Rodriguez,Raul Rosas Jr.,0,0,29,2,1,3,0,1,Bantamweight,U-DEC,,3,5:00,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Kelvin Gastelum,Chris Curtis,0,0,83,70,0,0,0,0,Middleweight,U-DEC,,3,5:00,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Luana Pinheiro,Michelle Waterson-Gomez,0,0,44,61,0,1,0,0,Women's Strawweight,S-DEC,,3,5:00,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Joe Pyfer,Gerald Meerschaert,0,0,14,10,0,0,0,0,Middleweight,KO/TKO,Punches,1,3:15,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Loopy Godinez,Cynthia Calvillo,0,0,87,104,0,1,0,0,Women's Strawweight,S-DEC,,3,5:00,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Ignacio Bahamondes,Trey Ogden,0,0,99,42,0,0,0,0,Catch Weight,U-DEC,,3,5:00,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Steve Garcia,Shayilan Nuerdanbieke,1,1,17,18,0,1,0,0,Featherweight,KO/TKO,Punch,2,0:36,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Gilbert Burns,Jorge Masvidal,0,0,42,39,4,0,0,0,Welterweight,U-DEC,,3,5:00,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Rob Font,Adrian Yanez,1,0,33,25,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:57,2023-04-08,http://ufcstats.com/event-details/3dc3022232b79c7a
win,Albert Duraev,Chidi Njokuani,0,0,45,40,2,0,0,0,Middleweight,S-DEC,,3,5:00,2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d
win,Cory Sandhagen,Marlon Vera,0,0,128,58,3,0,0,1,Bantamweight,S-DEC,,5,5:00,2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d
win,Holly Holm,Yana Santos,0,0,32,21,4,0,0,0,Women's Bantamweight,U-DEC,,3,5:00,2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d
win,Maycee Barber,Andrea Lee,0,0,48,39,2,5,0,0,Women's Flyweight,S-DEC,,3,5:00,2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d
win,Trevin Giles,Preston Parsons,0,0,55,42,0,3,0,3,Welterweight,S-DEC,,3,5:00,2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d
win,Nate Landwehr,Austin Lingo,0,0,64,48,1,0,1,0,Featherweight,SUB,Rear Naked Choke,2,4:11,2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d
win,Lucas Alexander,Steven Peterson,1,0,85,26,0,0,0,0,Featherweight,U-DEC,,3,5:00,2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d
win,CJ Vergara,Daniel Lacerda,0,2,83,48,0,1,1,2,Flyweight,KO/TKO,Elbows,2,4:04,2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d
win,Daniel Pineda,Tucker Lutz,1,0,24,28,1,0,2,0,Featherweight,SUB,Guillotine Choke,2,2:50,2023-03-25,http://ufcstats.com/event-details/aec273fcb765330d
win,Chris Duncan,Omar Morales,0,0,53,47,5,0,0,0,Lightweight,S-DEC,,3,5:00,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Leon Edwards,Kamaru Usman,0,0,120,87,0,4,0,0,Welterweight,M-DEC,,5,5:00,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Justin Gaethje,Rafael Fiziev,0,0,103,97,1,0,0,0,Lightweight,M-DEC,,3,5:00,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Gunnar Nelson,Bryan Barberena,0,0,10,7,1,0,1,0,Welterweight,SUB,Armbar,1,4:51,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Jennifer Maia,Casey O'Neill,0,0,145,137,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Marvin Vettori,Roman Dolidze,0,0,106,71,0,0,0,0,Middleweight,U-DEC,,3,5:00,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Jack Shore,Makwan Amirkhani,0,0,28,10,1,1,1,0,Featherweight,SUB,Rear Naked Choke,2,4:27,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Muhammad Mokaev,Jafel Filho,0,0,16,9,4,0,2,2,Flyweight,SUB,Neck Crank,3,4:32,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Lerone Murphy,Gabriel Santos,0,0,93,69,1,5,0,0,Featherweight,S-DEC,,3,5:00,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Christian Duncan,Dusko Todorovic,0,0,9,4,0,0,0,0,Middleweight,KO/TKO,,1,1:52,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Jake Hadley,Malcolm Gordon,1,0,10,3,0,0,0,0,Flyweight,KO/TKO,Punch,1,1:01,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Joanne Wood,Luana Carolina,0,0,131,100,2,0,0,0,Women's Flyweight,S-DEC,,3,5:00,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
draw,Jai Herbert,Ludovit Klein,0,0,43,47,1,2,0,0,Lightweight,M-DEC,,3,5:00,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Yanal Ashmouz,Sam Patterson,0,0,15,2,1,0,0,0,Lightweight,KO/TKO,Punches,1,1:15,2023-03-18,http://ufcstats.com/event-details/e4bb7e483c4ad318
win,Mario Bautista,Guido Cannetti,0,0,3,2,3,1,1,0,Bantamweight,SUB,Rear Naked Choke,1,3:18,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Merab Dvalishvili,Petr Yan,0,0,147,75,11,1,0,0,Bantamweight,U-DEC,,5,5:00,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Alexander Volkov,Alexandr Romanov,0,0,12,0,0,0,0,0,Heavyweight,KO/TKO,Punches,1,2:16,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Nikita Krylov,Ryan Spann,0,0,7,5,2,1,2,1,Catch Weight,SUB,Triangle Choke,1,3:38,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Jonathan Martinez,Said Nurmagomedov,0,0,38,47,0,3,1,2,Bantamweight,U-DEC,,3,5:00,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Vitor Petrino,Anton Turkalj,0,0,39,33,7,5,1,0,Light Heavyweight,U-DEC,,3,5:00,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Josh Fremd,Sedriques Dumas,0,0,33,20,2,0,2,0,Middleweight,SUB,Guillotine Choke,2,3:00,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Davey Grant,Raphael Assuncao,1,0,65,42,0,5,1,0,Bantamweight,SUB,Inverted Triangle,3,4:43,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Victor Henry,Tony Gravely,0,0,154,75,0,3,2,0,Bantamweight,S-DEC,,3,5:00,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Ariane Lipski,JJ Aldrich,0,0,101,49,2,0,0,0,Women's Flyweight,U-DEC,,3,5:00,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Bruno Silva,Tyson Nam,1,0,23,12,0,0,1,0,Flyweight,SUB,Rear Naked Choke,2,1:23,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Karl Williams,Lukasz Brzeski,1,0,38,26,8,0,0,0,Heavyweight,U-DEC,,3,5:00,2023-03-11,http://ufcstats.com/event-details/35080a7f406f9ab3
win,Shavkat Rakhmonov,Geoff Neal,0,0,113,69,0,0,1,0,Welterweight,SUB,Rear Naked Choke,3,4:17,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Mateusz Gamrot,Jalin Turner,0,1,29,40,4,0,0,0,Lightweight,S-DEC,,3,5:00,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Dricus Du Plessis,Derek Brunson,1,0,71,37,1,1,1,1,Middleweight,KO/TKO,Punches,2,4:59,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Jon Jones,Ciryl Gane,0,0,5,6,2,0,1,0,Heavyweight,SUB,Guillotine Choke,1,2:04,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Cody Garbrandt,Trevin Jones,0,0,26,20,2,1,0,1,Bantamweight,U-DEC,,3,5:00,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Bo Nickal,Jamie Pickett,0,0,1,1,1,0,2,0,Middleweight,SUB,Arm Triangle,1,2:54,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Ian Garry,Song Kenan,1,1,127,55,0,2,0,0,Welterweight,KO/TKO,Punches,3,4:22,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Alexa Grasso,Valentina Shevchenko,0,0,59,87,0,4,1,0,Women's Flyweight,SUB,Rear Naked Choke,4,4:34,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Farid Basharat,Da'Mon Blackshear,0,0,58,46,3,1,0,1,Bantamweight,U-DEC,,3,5:00,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Tabatha Ricci,Jessica Penne,0,0,36,6,4,0,1,0,Women's Strawweight,SUB,Armbar,2,2:14,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Amanda Ribas,Viviane Araujo,0,0,98,46,2,0,0,2,Women's Flyweight,U-DEC,,3,5:00,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Cameron Saaiman,Mana Martinez,1,0,117,60,1,0,0,0,Bantamweight,M-DEC,,3,5:00,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Marc-Andre Barriault,Julian Marquez,0,0,109,82,0,0,0,0,Middleweight,KO/TKO,Punches,2,4:12,2023-03-04,http://ufcstats.com/event-details/1ccff7f0cfdf85eb
win,Trevor Peek,Erick Gonzalez,2,0,51,7,0,4,0,0,Lightweight,KO/TKO,Punch,1,4:59,2023-02-25,http://ufcstats.com/event-details/806975e1b4f47b27
win,Brendan Allen,Andre Muniz,0,0,42,43,1,0,2,0,Middleweight,SUB,Rear Naked Choke,3,4:25,2023-02-25,http://ufcstats.com/event-details/806975e1b4f47b27
win,Augusto Sakai,Don'Tale Mayes,0,0,53,29,1,0,0,0,Heavyweight,U-DEC,,3,5:00,2023-02-25,http://ufcstats.com/event-details/806975e1b4f47b27
win,Tatiana Suarez,Montana De La Rosa,0,0,10,5,2,0,1,0,Women's Flyweight,SUB,Guillotine Choke,2,2:51,2023-02-25,http://ufcstats.com/event-details/806975e1b4f47b27
win,Jordan Leavitt,Victor Martinez,1,0,17,7,0,0,0,0,Lightweight,KO/TKO,Knees,1,2:27,2023-02-25,http://ufcstats.com/event-details/806975e1b4f47b27
win,Mike Malott,Yohan Lainesse,0,0,9,1,1,0,1,0,Welterweight,SUB,Arm Triangle,1,4:15,2023-02-25,http://ufcstats.com/event-details/806975e1b4f47b27
win,Ode Osbourne,Charles Johnson,0,0,48,60,3,1,0,0,Catch Weight,S-DEC,,3,5:00,2023-02-25,http://ufcstats.com/event-details/806975e1b4f47b27
