fighter,fighter_url
Max Holloway,http://ufcstats.com/fighter-details/150ff4cc642270b9
Arnold Allen,http://ufcstats.com/fighter-details/040a74bb0a465c54
Edson Barboza,http://ufcstats.com/fighter-details/64a50dad704d1d49
Billy Quarantillo,http://ufcstats.com/fighter-details/aa171d55d4b5208f
Azamat Murzakanov,http://ufcstats.com/fighter-details/e90a2f22417af68e
Dustin Jacoby,http://ufcstats.com/fighter-details/e4277e87a789d687
Ion Cutelaba,http://ufcstats.com/fighter-details/cd13728ae1151f46
Tanner Boser,http://ufcstats.com/fighter-details/04c8b08b16a5b99e
Pedro Munhoz,http://ufcstats.com/fighter-details/6bd02119599741a4
Chris Gutierrez,http://ufcstats.com/fighter-details/45f0cc9d18f35137
Rafa Garcia,http://ufcstats.com/fighter-details/e132d47bd9efbbe0
Clay Guida,http://ufcstats.com/fighter-details/c47df9303d318c67
Bill Algeo,http://ufcstats.com/fighter-details/9abc648e76c4493a
TJ Brown,http://ufcstats.com/fighter-details/d31cbcdd7d69536d
Brandon Royval,http://ufcstats.com/fighter-details/6e15f63b6c2e2c15
Matheus Nicolau,http://ufcstats.com/fighter-details/1a31ef98efce7a79
Zak Cummings,http://ufcstats.com/fighter-details/4ba8d454f762005d
Ed Herman,http://ufcstats.com/fighter-details/06f36cf4bd97ec77
Gillian Robertson,http://ufcstats.com/fighter-details/38c7f72747f4f712
Piera Rodriguez,http://ufcstats.com/fighter-details/e375cb5caf4717b6
Daniel Zellhuber,http://ufcstats.com/fighter-details/4148802ae4a50768
Lando Vannata,http://ufcstats.com/fighter-details/f9b200db02b488d9
Denise Gomes,http://ufcstats.com/fighter-details/cffb87059e645bd1
Bruna Brasil,http://ufcstats.com/fighter-details/7138a15258dabf20
Gaston Bolanos,http://ufcstats.com/fighter-details/96924b0019b3aff1
Aaron Phillips,http://ufcstats.com/fighter-details/34c2b3656f88f7ef
Joselyne Edwards,http://ufcstats.com/fighter-details/f9ab66e67240db7b
Lucie Pudilova,http://ufcstats.com/fighter-details/3cf66c62d9069f43
Israel Adesanya,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Alex Pereira,http://ufcstats.com/fighter-details/e5549c82bfb5582d
Gilbert Burns,http://ufcstats.com/fighter-details/23024fdfc966410a
Jorge Masvidal,http://ufcstats.com/fighter-details/47b9e0e7703a4868
Rob Font,http://ufcstats.com/fighter-details/05339613bf8e9808
Adrian Yanez,http://ufcstats.com/fighter-details/0232cabbc30a2372
Kevin Holland,http://ufcstats.com/fighter-details/3a46b268013afede
Santiago Ponzinibbio,http://ufcstats.com/fighter-details/6d1bffff14897645
Christian Rodriguez,http://ufcstats.com/fighter-details/5ec591b78349ba7e
Raul Rosas Jr.,http://ufcstats.com/fighter-details/fe2babf95de24fb1
Kelvin Gastelum,http://ufcstats.com/fighter-details/8c0580d4fff106c1
Chris Curtis,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3
Luana Pinheiro,http://ufcstats.com/fighter-details/a3a542074109b347
Michelle Waterson-Gomez,http://ufcstats.com/fighter-details/eb04b9d31e938edb
Joe Pyfer,http://ufcstats.com/fighter-details/c1085e1701b13eca
Gerald Meerschaert,http://ufcstats.com/fighter-details/6ac9bc2953c47345
Loopy Godinez,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7
Cynthia Calvillo,http://ufcstats.com/fighter-details/98215d037be5bcb7
Ignacio Bahamondes,http://ufcstats.com/fighter-details/e4a47b07044ddd72
Trey Ogden,http://ufcstats.com/fighter-details/cfc3e7bb44685289
Steve Garcia,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889
Shayilan Nuerdanbieke,http://ufcstats.com/fighter-details/0a73acff6325c1e2
Sam Hughes,http://ufcstats.com/fighter-details/e94085e821bd81de
Jaqueline Amorim,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Cory Sandhagen,http://ufcstats.com/fighter-details/65f09bacd3957381
Marlon Vera,http://ufcstats.com/fighter-details/7c7332319c14094c
Holly Holm,http://ufcstats.com/fighter-details/634e2fb70bde3fd5
Yana Santos,http://ufcstats.com/fighter-details/3143bf892608139a
Nate Landwehr,http://ufcstats.com/fighter-details/583ee11abddfc581
Austin Lingo,http://ufcstats.com/fighter-details/305d73ede05e31ad
Maycee Barber,http://ufcstats.com/fighter-details/6a740daf1b279661
Andrea Lee,http://ufcstats.com/fighter-details/05fa626cb33d15b8
Albert Duraev,http://ufcstats.com/fighter-details/6b7c7460855dbbb9
Chidi Njokuani,http://ufcstats.com/fighter-details/c68c68efaa5ca6ef
Daniel Pineda,http://ufcstats.com/fighter-details/361d49960a196976
Tucker Lutz,http://ufcstats.com/fighter-details/7832f2f62f04178f
Lucas Alexander,http://ufcstats.com/fighter-details/11583163f45c7b31
Steven Peterson,http://ufcstats.com/fighter-details/b93c06d09d1c4ac0
Trevin Giles,http://ufcstats.com/fighter-details/b27a1fcb56a3035a
Preston Parsons,http://ufcstats.com/fighter-details/9fe7af8b3fbe00a0
CJ Vergara,http://ufcstats.com/fighter-details/077e3ace32b72be9
Daniel Lacerda,http://ufcstats.com/fighter-details/31bb0772f21cabd8
Victor Altamirano,http://ufcstats.com/fighter-details/dc7927cd622676a7
Vinicius Salvador,http://ufcstats.com/fighter-details/65cdf4ec31143d86
Leon Edwards,http://ufcstats.com/fighter-details/f1fac969a1d70b08
Kamaru Usman,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e
Justin Gaethje,http://ufcstats.com/fighter-details/9e8f6c728eb01124
Rafael Fiziev,http://ufcstats.com/fighter-details/c814b4c899793af6
Gunnar Nelson,http://ufcstats.com/fighter-details/fd55393021a8c255
Bryan Barberena,http://ufcstats.com/fighter-details/a331233f597090a5
Jennifer Maia,http://ufcstats.com/fighter-details/8e1f36476ef02a6a
Casey O'Neill,http://ufcstats.com/fighter-details/04835018f90b118c
Marvin Vettori,http://ufcstats.com/fighter-details/7acbb0972e75281a
Roman Dolidze,http://ufcstats.com/fighter-details/327d5f279895110d
Jack Shore,http://ufcstats.com/fighter-details/b8a85389d115e35a
Makwan Amirkhani,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Chris Duncan,http://ufcstats.com/fighter-details/fd406a32a6fb3a29
Omar Morales,http://ufcstats.com/fighter-details/a0e6753c42698f13
Yanal Ashmouz,http://ufcstats.com/fighter-details/c739c2995a275314
Sam Patterson,http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7
Muhammad Mokaev,http://ufcstats.com/fighter-details/75353550928a7921
Jafel Filho,http://ufcstats.com/fighter-details/65adf3856c4d9256
Lerone Murphy,http://ufcstats.com/fighter-details/396fe87b84ac2e1c
Gabriel Santos,http://ufcstats.com/fighter-details/f2f140ce7532e327
Christian Duncan,http://ufcstats.com/fighter-details/a93f94c923c3a9cb
Dusko Todorovic,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f
Jake Hadley,http://ufcstats.com/fighter-details/60a42bf82447c919
Malcolm Gordon,http://ufcstats.com/fighter-details/dee294e9717012c2
Joanne Wood,http://ufcstats.com/fighter-details/12f91bfa8f1f723b
